name,category,seed_source,seed_type
אורית לוי,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורית פלדמן-מורן,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורית פעמוני קרן,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורל ציובוטרו,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורלי אמילי שושני,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורלי ברנדס קליין,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורלי גולדשטיק,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורן ברק,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורן גרינולד,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורנה לוינסון-תבור,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורנה נדל,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורנה רייכמן,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אורנה שקד,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אושרי בר אל,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אושרית ליבוביץ,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אושרית תמר ברט,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אחינעם לב-שגיא,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
אחמד אלאסבח,gynecologist,https://data.gov.il/he/datasets/ministry-health/database-of-doctors-licenses-moh/9c64c522-bbc2-48fe-96fb-3b2a8626f59e,moh
